subject,exclude_participant,current_training_images,current_training_label,name_check,shuffled_sampling_images,current_category_label_level,current_category_kind,current_category_training_level,sampled_image,sampled_label,sampled_imagename,sampled_imagelabel,sampled_category_kind_short,sampled_category_kind,sampled_category_level,within_category_sample,within_category_sample_f,sampled_category_level_kind_info,sampling_choice_consistent,sampling_choice_narrowly_constraining,name_check_edited,levenshtein_distance,chance_consistent,chance_consistent_4afc,chance_narrowly_constraining,chance_narrowly_constraining_4afc,sampling_choice_consistent_b,sampling_choice_narrow_constraining_b
p120584,0,"[""stims/veh_c2_sub1.jpg"",""stims/veh_c2_sub2.jpg"",""stims/veh_c2_sub3.jpg""]",beppo,beppo,"[""stims/veh_c2_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/ani_c3_bas3.jpg""]",broad,vehicles,narrow,stims/veh_c2_bas3.jpg,beppo,veh_c2_bas3.jpg,veh_c2_bas3,veh,vehicles,bas,1,within-category,bas,inconsistent,constraining,beppo,0,0.1111111111111111,0.25,0.1111111111111111,0.25,0,1
p120584,0,"[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_sup1.jpg"",""stims/ani_c3_sup2.jpg""]",sibu,sibu,"[""stims/veg_c1_bas3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veh_c2_sub4.jpg""]",hypernym,animals,broad,stims/ani_c3_sup3.jpg,sibu,ani_c3_sup3.jpg,ani_c3_sup3,ani,animals,sup,1,within-category,sup,consistent,consistent,sibu,0,0.3333333333333333,0.75,0.6666666666666666,0.25,1,0
p120584,0,"[""stims/veg_c1_sub1.jpg"",""stims/veg_c1_bas1.jpg"",""stims/veg_c1_bas2.jpg""]",kita,pepper,"[""stims/veh_c2_bas3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veg_c1_sub4.jpg""]",intermediate,vegetables,intermediate,stims/veg_c1_sup3.jpg,roozer,veg_c1_sup3.jpg,veg_c1_sup3,veg,vegetables,sup,1,within-category,sup,inconsistent,constraining,pepper,6,0.2222222222222222,0.5,0.1111111111111111,0.25,0,1
p621290,0,"[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_bas1.jpg"",""stims/ani_c3_bas2.jpg""]",kita,kitas,"[""stims/veg_c1_bas3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/ani_c3_sub4.jpg""]",intermediate,animals,intermediate,stims/veh_c2_sub4.jpg,guffy,veh_c2_sub4.jpg,veh_c2_sub4,veh,vehicles,sub,0,other-category,outside_category,inconsistent,inconsistent,kitas,1,0.2222222222222222,0.5,0.1111111111111111,0.25,0,0
p621290,0,"[""stims/veh_c2_sub1.jpg"",""stims/veh_c2_sup1.jpg"",""stims/veh_c2_sup2.jpg""]",beppo,beppo,"[""stims/veg_c1_sub4.jpg"",""stims/veh_c2_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_sup3.jpg"",""stims/ani_c3_sup3.jpg""]",hypernym,vehicles,broad,stims/veh_c2_sub4.jpg,beppo,veh_c2_sub4.jpg,veh_c2_sub4,veh,vehicles,sub,1,within-category,sub,consistent,consistent,beppo,0,0.3333333333333333,0.75,0.6666666666666666,0.25,1,0
p621290,0,"[""stims/veg_c1_sub1.jpg"",""stims/veg_c1_sub2.jpg"",""stims/veg_c1_sub3.jpg""]",sibu,sibu,"[""stims/ani_c3_sub4.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veh_c2_bas3.jpg"",""stims/ani_c3_bas3.jpg""]",narrow,vegetables,narrow,stims/veg_c1_sup3.jpg,tibble,veg_c1_sup3.jpg,veg_c1_sup3,veg,vegetables,sup,1,within-category,sup,inconsistent,inconsistent,sibu,0,0.1111111111111111,0.25,0.1111111111111111,0.25,0,0
p941433,0,"[""stims/veg_c1_sub1.jpg"",""stims/veg_c1_bas1.jpg"",""stims/veg_c1_bas2.jpg""]",beppo,beppo,"[""stims/ani_c3_sup3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veg_c1_sup3.jpg""]",intermediate,vegetables,intermediate,stims/ani_c3_sub4.jpg,tibble,ani_c3_sub4.jpg,ani_c3_sub4,ani,animals,sub,0,other-category,outside_category,inconsistent,inconsistent,beppo,0,0.2222222222222222,0.5,0.1111111111111111,0.25,0,0
p941433,0,"[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_sub2.jpg"",""stims/ani_c3_sub3.jpg""]",sibu,sibu,"[""stims/veh_c2_bas3.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veg_c1_sub4.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_bas3.jpg""]",narrow,animals,narrow,stims/ani_c3_sub4.jpg,sibu,ani_c3_sub4.jpg,ani_c3_sub4,ani,animals,sub,1,within-category,sub,consistent,consistent,sibu,0,0.1111111111111111,0.25,0.1111111111111111,0.25,1,0
p941433,0,"[""stims/veh_c2_sub1.jpg"",""stims/veh_c2_sup1.jpg"",""stims/veh_c2_sup2.jpg""]",kita,kita,"[""stims/veh_c2_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/ani_c3_sub4.jpg""]",broad,vehicles,broad,stims/veh_c2_sub4.jpg,kita,veh_c2_sub4.jpg,veh_c2_sub4,veh,vehicles,sub,1,within-category,sub,consistent,consistent,kita,0,0.3333333333333333,0.75,0.6666666666666666,0.25,1,0
p303589,0,"[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_bas1.jpg"",""stims/ani_c3_bas2.jpg""]",sibu,sibu,"[""stims/veg_c1_sub4.jpg"",""stims/ani_c3_sub4.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veg_c1_bas3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/ani_c3_bas3.jpg""]",broad,animals,intermediate,stims/ani_c3_sub4.jpg,sibu,ani_c3_sub4.jpg,ani_c3_sub4,ani,animals,sub,1,within-category,sub,consistent,consistent,sibu,0,0.2222222222222222,0.5,0.1111111111111111,0.25,1,0
p303589,0,"[""stims/veh_c2_sub1.jpg"",""stims/veh_c2_sup1.jpg"",""stims/veh_c2_sup2.jpg""]",beppo,beppo,"[""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veh_c2_sup3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veg_c1_bas3.jpg""]",broad,vehicles,broad,stims/veh_c2_sub4.jpg,beppo,veh_c2_sub4.jpg,veh_c2_sub4,veh,vehicles,sub,1,within-category,sub,consistent,consistent,beppo,0,0.3333333333333333,0.75,0.6666666666666666,0.25,1,0
p303589,0,"[""stims/veg_c1_sub1.jpg"",""stims/veg_c1_sub2.jpg"",""stims/veg_c1_sub3.jpg""]",kita,kita,"[""stims/veh_c2_bas3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/ani_c3_sub4.jpg"",""stims/veg_c1_sup3.jpg""]",intermediate,vegetables,narrow,stims/veg_c1_sub4.jpg,kita,veg_c1_sub4.jpg,veg_c1_sub4,veg,vegetables,sub,1,within-category,sub,consistent,consistent,kita,0,0.1111111111111111,0.25,0.1111111111111111,0.25,1,0
p736548,0,"[""stims/veh_c2_sub1.jpg"",""stims/veh_c2_bas1.jpg"",""stims/veh_c2_bas2.jpg""]",kita,kita,"[""stims/ani_c3_sup3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/ani_c3_sub4.jpg"",""stims/veh_c2_sub4.jpg""]",intermediate,vehicles,intermediate,stims/veg_c1_sub4.jpg,guffy,veg_c1_sub4.jpg,veg_c1_sub4,veg,vegetables,sub,0,other-category,outside_category,inconsistent,inconsistent,kita,0,0.2222222222222222,0.5,0.1111111111111111,0.25,0,0
p736548,0,"[""stims/veg_c1_sub1.jpg"",""stims/veg_c1_sup1.jpg"",""stims/veg_c1_sup2.jpg""]",sibu,sibu,"[""stims/veg_c1_bas3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veg_c1_sub4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/ani_c3_sub4.jpg""]",hypernym,vegetables,broad,stims/veg_c1_sup3.jpg,sibu,veg_c1_sup3.jpg,veg_c1_sup3,veg,vegetables,sup,1,within-category,sup,consistent,consistent,sibu,0,0.3333333333333333,0.75,0.6666666666666666,0.25,1,0
p736548,0,"[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_sub2.jpg"",""stims/ani_c3_sub3.jpg""]",beppo,beppo,"[""stims/veg_c1_sub4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/ani_c3_bas3.jpg""]",broad,animals,narrow,stims/ani_c3_bas3.jpg,beppo,ani_c3_bas3.jpg,ani_c3_bas3,ani,animals,bas,1,within-category,bas,inconsistent,constraining,beppo,0,0.1111111111111111,0.25,0.1111111111111111,0.25,0,1
p350934,0,"[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_sup1.jpg"",""stims/ani_c3_sup2.jpg""]",beppo,beppo,"[""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veh_c2_sub4.jpg""]",hypernym,animals,broad,stims/ani_c3_sup3.jpg,beppo,ani_c3_sup3.jpg,ani_c3_sup3,ani,animals,sup,1,within-category,sup,consistent,consistent,beppo,0,0.3333333333333333,0.75,0.6666666666666666,0.25,1,0
p350934,0,"[""stims/veg_c1_sub1.jpg"",""stims/veg_c1_sub2.jpg"",""stims/veg_c1_sub3.jpg""]",kita,kita,"[""stims/ani_c3_sup3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/ani_c3_sub4.jpg""]",narrow,vegetables,narrow,stims/veg_c1_sub4.jpg,kita,veg_c1_sub4.jpg,veg_c1_sub4,veg,vegetables,sub,1,within-category,sub,consistent,consistent,kita,0,0.1111111111111111,0.25,0.1111111111111111,0.25,1,0
p350934,0,"[""stims/veh_c2_sub1.jpg"",""stims/veh_c2_bas1.jpg"",""stims/veh_c2_bas2.jpg""]",sibu,sibu,"[""stims/veh_c2_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veh_c2_bas3.jpg""]",hypernym,vehicles,intermediate,stims/veh_c2_sub4.jpg,sibu,veh_c2_sub4.jpg,veh_c2_sub4,veh,vehicles,sub,1,within-category,sub,consistent,consistent,sibu,0,0.2222222222222222,0.5,0.1111111111111111,0.25,1,0
p110525,0,"[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_bas1.jpg"",""stims/ani_c3_bas2.jpg""]",beppo,beppo,"[""stims/veg_c1_sub4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_sup3.jpg""]",intermediate,animals,intermediate,stims/ani_c3_bas3.jpg,beppo,ani_c3_bas3.jpg,ani_c3_bas3,ani,animals,bas,1,within-category,bas,consistent,consistent,beppo,0,0.2222222222222222,0.5,0.1111111111111111,0.25,1,0
p110525,0,"[""stims/veh_c2_sub1.jpg"",""stims/veh_c2_sub2.jpg"",""stims/veh_c2_sub3.jpg""]",kita,kita,"[""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veh_c2_sup3.jpg""]",broad,vehicles,narrow,stims/veh_c2_sub4.jpg,kita,veh_c2_sub4.jpg,veh_c2_sub4,veh,vehicles,sub,1,within-category,sub,consistent,consistent,kita,0,0.1111111111111111,0.25,0.1111111111111111,0.25,1,0
p110525,0,"[""stims/veg_c1_sub1.jpg"",""stims/veg_c1_sup1.jpg"",""stims/veg_c1_sup2.jpg""]",sibu,sibu,"[""stims/veg_c1_bas3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/ani_c3_sub4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veh_c2_bas3.jpg""]",hypernym,vegetables,broad,stims/veg_c1_bas3.jpg,sibu,veg_c1_bas3.jpg,veg_c1_bas3,veg,vegetables,bas,1,within-category,bas,consistent,consistent,sibu,0,0.3333333333333333,0.75,0.6666666666666666,0.25,1,0
p786454,0,"[""stims/veg_c1_sub1.jpg"",""stims/veg_c1_sup1.jpg"",""stims/veg_c1_sup2.jpg""]",beppo,beppo,"[""stims/veh_c2_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veh_c2_sup3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_bas3.jpg""]",hypernym,vegetables,broad,stims/veg_c1_sup3.jpg,beppo,veg_c1_sup3.jpg,veg_c1_sup3,veg,vegetables,sup,1,within-category,sup,consistent,consistent,beppo,0,0.3333333333333333,0.75,0.6666666666666666,0.25,1,0
p786454,0,"[""stims/veh_c2_sub1.jpg"",""stims/veh_c2_sub2.jpg"",""stims/veh_c2_sub3.jpg""]",kita,kita,"[""stims/veg_c1_bas3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/ani_c3_sub4.jpg"",""stims/veg_c1_sup3.jpg""]",broad,vehicles,narrow,stims/veh_c2_bas3.jpg,kita,veh_c2_bas3.jpg,veh_c2_bas3,veh,vehicles,bas,1,within-category,bas,inconsistent,constraining,kita,0,0.1111111111111111,0.25,0.1111111111111111,0.25,0,1
p786454,0,"[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_bas1.jpg"",""stims/ani_c3_bas2.jpg""]",sibu,sibu,"[""stims/veg_c1_sub4.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veh_c2_sup3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/ani_c3_sup3.jpg""]",hypernym,animals,intermediate,stims/ani_c3_sub4.jpg,sibu,ani_c3_sub4.jpg,ani_c3_sub4,ani,animals,sub,1,within-category,sub,consistent,consistent,sibu,0,0.2222222222222222,0.5,0.1111111111111111,0.25,1,0
p680,0,"[""stims/veh_c2_sub1.jpg"",""stims/veh_c2_sub2.jpg"",""stims/veh_c2_sub3.jpg""]",sibu,sibu,"[""stims/ani_c3_sub4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veg_c1_sup3.jpg""]",broad,vehicles,narrow,stims/veh_c2_bas3.jpg,sibu,veh_c2_bas3.jpg,veh_c2_bas3,veh,vehicles,bas,1,within-category,bas,inconsistent,constraining,sibu,0,0.1111111111111111,0.25,0.1111111111111111,0.25,0,1
p680,0,"[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_sup1.jpg"",""stims/ani_c3_sup2.jpg""]",beppo,beppo,"[""stims/veg_c1_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veh_c2_sup3.jpg""]",hypernym,animals,broad,stims/veh_c2_sup3.jpg,beppo,veh_c2_sup3.jpg,veh_c2_sup3,veh,vehicles,sup,0,other-category,outside_category,inconsistent,constraining,beppo,0,0.3333333333333333,0.75,0.6666666666666666,0.25,0,1
p680,0,"[""stims/veg_c1_sub1.jpg"",""stims/veg_c1_bas1.jpg"",""stims/veg_c1_bas2.jpg""]",kita,kita,"[""stims/veh_c2_bas3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veg_c1_bas3.jpg""]",hypernym,vegetables,intermediate,stims/ani_c3_bas3.jpg,tibble,ani_c3_bas3.jpg,ani_c3_bas3,ani,animals,bas,0,other-category,outside_category,inconsistent,inconsistent,kita,0,0.2222222222222222,0.5,0.1111111111111111,0.25,0,0
p860216,0,"[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_bas1.jpg"",""stims/ani_c3_bas2.jpg""]",beppo,beppo,"[""stims/veh_c2_bas3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veh_c2_sub4.jpg""]",intermediate,animals,intermediate,stims/ani_c3_sub4.jpg,beppo,ani_c3_sub4.jpg,ani_c3_sub4,ani,animals,sub,1,within-category,sub,consistent,consistent,beppo,0,0.2222222222222222,0.5,0.1111111111111111,0.25,1,0
p860216,0,"[""stims/veg_c1_sub1.jpg"",""stims/veg_c1_sub2.jpg"",""stims/veg_c1_sub3.jpg""]",sibu,sibu,"[""stims/veh_c2_sub4.jpg"",""stims/ani_c3_sub4.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veh_c2_sup3.jpg""]",intermediate,vegetables,narrow,stims/veg_c1_sub4.jpg,sibu,veg_c1_sub4.jpg,veg_c1_sub4,veg,vegetables,sub,1,within-category,sub,consistent,consistent,sibu,0,0.1111111111111111,0.25,0.1111111111111111,0.25,1,0
p860216,0,"[""stims/veh_c2_sub1.jpg"",""stims/veh_c2_sup1.jpg"",""stims/veh_c2_sup2.jpg""]",kita,kita,"[""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veh_c2_sup3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_sub4.jpg""]",broad,vehicles,broad,stims/veh_c2_bas3.jpg,kita,veh_c2_bas3.jpg,veh_c2_bas3,veh,vehicles,bas,1,within-category,bas,consistent,consistent,kita,0,0.3333333333333333,0.75,0.6666666666666666,0.25,1,0
p682659,0,"[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_bas1.jpg"",""stims/ani_c3_bas2.jpg""]",kita,kita,"[""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veh_c2_sup3.jpg"",""stims/ani_c3_sub4.jpg""]",intermediate,animals,intermediate,stims/veg_c1_sub4.jpg,roozer,veg_c1_sub4.jpg,veg_c1_sub4,veg,vegetables,sub,0,other-category,outside_category,inconsistent,inconsistent,kita,0,0.2222222222222222,0.5,0.1111111111111111,0.25,0,0
p682659,0,"[""stims/veg_c1_sub1.jpg"",""stims/veg_c1_sup1.jpg"",""stims/veg_c1_sup2.jpg""]",sibu,sibu,"[""stims/veh_c2_sup3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veg_c1_bas3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veh_c2_bas3.jpg""]",hypernym,vegetables,broad,stims/veh_c2_sub4.jpg,guffy,veh_c2_sub4.jpg,veh_c2_sub4,veh,vehicles,sub,0,other-category,outside_category,inconsistent,constraining,sibu,0,0.3333333333333333,0.75,0.6666666666666666,0.25,0,1
p682659,0,"[""stims/veh_c2_sub1.jpg"",""stims/veh_c2_sub2.jpg"",""stims/veh_c2_sub3.jpg""]",beppo,beppo,"[""stims/ani_c3_bas3.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veh_c2_sub4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_bas3.jpg""]",intermediate,vehicles,narrow,stims/veh_c2_bas3.jpg,beppo,veh_c2_bas3.jpg,veh_c2_bas3,veh,vehicles,bas,1,within-category,bas,inconsistent,constraining,beppo,0,0.1111111111111111,0.25,0.1111111111111111,0.25,0,1
p709283,0,"[""stims/veh_c2_sub1.jpg"",""stims/veh_c2_sup1.jpg"",""stims/veh_c2_sup2.jpg""]",beppo,beppo,"[""stims/veg_c1_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veg_c1_sup3.jpg""]",broad,vehicles,broad,stims/veh_c2_sup3.jpg,beppo,veh_c2_sup3.jpg,veh_c2_sup3,veh,vehicles,sup,1,within-category,sup,consistent,consistent,beppo,0,0.3333333333333333,0.75,0.6666666666666666,0.25,1,0
p709283,0,"[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_bas1.jpg"",""stims/ani_c3_bas2.jpg""]",kita,kita,"[""stims/veg_c1_bas3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/ani_c3_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veh_c2_sup3.jpg"",""stims/ani_c3_sup3.jpg""]",broad,animals,intermediate,stims/ani_c3_bas3.jpg,kita,ani_c3_bas3.jpg,ani_c3_bas3,ani,animals,bas,1,within-category,bas,consistent,consistent,kita,0,0.2222222222222222,0.5,0.1111111111111111,0.25,1,0
p709283,0,"[""stims/veg_c1_sub1.jpg"",""stims/veg_c1_sub2.jpg"",""stims/veg_c1_sub3.jpg""]",sibu,sibu,"[""stims/ani_c3_sup3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sub4.jpg""]",narrow,vegetables,narrow,stims/veg_c1_bas3.jpg,tibble,veg_c1_bas3.jpg,veg_c1_bas3,veg,vegetables,bas,1,within-category,bas,inconsistent,constraining,sibu,0,0.1111111111111111,0.25,0.1111111111111111,0.25,0,1
p838843,0,"[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_sup1.jpg"",""stims/ani_c3_sup2.jpg""]",sibu,animal,"[""stims/veg_c1_sub4.jpg"",""stims/veh_c2_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veg_c1_sup3.jpg""]",hypernym,animals,broad,stims/veh_c2_sup3.jpg,sibu,veh_c2_sup3.jpg,veh_c2_sup3,veh,vehicles,sup,0,other-category,outside_category,inconsistent,constraining,animal,5,0.3333333333333333,0.75,0.6666666666666666,0.25,0,1
