trial_type,trial_index,time_elapsed,internal_node_id,code,subject,hitId,assignmentId,success,timeout,failed_images,failed_audio,failed_video,view_history,rt,init_locations,moves,final_locations,stim_category,response,question_order,file_name,n
pavlovia,0,5,0.0-0.0,KOCLJyWCatActImpoWLPNSglc,p580115,076d4ae9-1d81-4eff-8850-8afaec0d02bb,6fe21e6e-50f8-4bd0-81f7-3ac19dcb06a6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/cat-act/data/free-sort/raw/catact-free-sort_PARTICIPANT_SESSION_2023-09-27_10h16.23.855.csv,19
preload,1,15421,0.0-1.0,KOCLJyWCatActImpoWLPNSglc,p580115,076d4ae9-1d81-4eff-8850-8afaec0d02bb,6fe21e6e-50f8-4bd0-81f7-3ac19dcb06a6,FALSE,TRUE,[],[],[],NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/cat-act/data/free-sort/raw/catact-free-sort_PARTICIPANT_SESSION_2023-09-27_10h16.23.855.csv,19
fullscreen,2,31401,0.0-2.0,KOCLJyWCatActImpoWLPNSglc,p580115,076d4ae9-1d81-4eff-8850-8afaec0d02bb,6fe21e6e-50f8-4bd0-81f7-3ac19dcb06a6,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/cat-act/data/free-sort/raw/catact-free-sort_PARTICIPANT_SESSION_2023-09-27_10h16.23.855.csv,19
instructions,3,47768,0.0-3.0,KOCLJyWCatActImpoWLPNSglc,p580115,076d4ae9-1d81-4eff-8850-8afaec0d02bb,6fe21e6e-50f8-4bd0-81f7-3ac19dcb06a6,NA,NA,NA,NA,NA,"[{""page_index"":0,""viewing_time"":1332.7000000476837},{""page_index"":1,""viewing_time"":1472.5999999046326},{""page_index"":2,""viewing_time"":1108.5999999046326},{""page_index"":3,""viewing_time"":796.4000000953674},{""page_index"":2,""viewing_time"":1804.7000000476837},{""page_index"":1,""viewing_time"":4765},{""page_index"":0,""viewing_time"":966},{""page_index"":1,""viewing_time"":3050},{""page_index"":2,""viewing_time"":394.39999985694885},{""page_index"":3,""viewing_time"":675.5}]",16366.200000047684,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/cat-act/data/free-sort/raw/catact-free-sort_PARTICIPANT_SESSION_2023-09-27_10h16.23.855.csv,19
free-sort,4,79888,0.0-4.0,KOCLJyWCatActImpoWLPNSglc,p580115,076d4ae9-1d81-4eff-8850-8afaec0d02bb,6fe21e6e-50f8-4bd0-81f7-3ac19dcb06a6,NA,NA,NA,NA,NA,NA,32118.5,"[{""src"":""images/house_3.jpg"",""x"":877.0666666666667,""y"":0},{""src"":""images/house_1.jpg"",""x"":-177.0666666666667,""y"":600},{""src"":""images/cottage.jpg"",""x"":877.0666666666667,""y"":600},{""src"":""images/house_2.jpg"",""x"":-177.0666666666667,""y"":0}]","[{""src"":""images/house_2.jpg"",""x"":204,""y"":146},{""src"":""images/house_3.jpg"",""x"":410,""y"":173},{""src"":""images/house_1.jpg"",""x"":249,""y"":401},{""src"":""images/house_3.jpg"",""x"":316,""y"":132},{""src"":""images/house_2.jpg"",""x"":142,""y"":102},{""src"":""images/house_3.jpg"",""x"":198,""y"":87},{""src"":""images/house_1.jpg"",""x"":164,""y"":190},{""src"":""images/house_3.jpg"",""x"":233,""y"":111},{""src"":""images/cottage.jpg"",""x"":592,""y"":418}]","[{""src"":""images/house_3.jpg"",""x"":233,""y"":111},{""src"":""images/house_1.jpg"",""x"":164,""y"":190},{""src"":""images/cottage.jpg"",""x"":592,""y"":418},{""src"":""images/house_2.jpg"",""x"":142,""y"":102}]",practice_1,NA,NA,/Users/martincz/GitHub/cat-act/data/free-sort/raw/catact-free-sort_PARTICIPANT_SESSION_2023-09-27_10h16.23.855.csv,19
free-sort,5,89685,0.0-5.0,KOCLJyWCatActImpoWLPNSglc,p580115,076d4ae9-1d81-4eff-8850-8afaec0d02bb,6fe21e6e-50f8-4bd0-81f7-3ac19dcb06a6,NA,NA,NA,NA,NA,NA,9795.899999856949,"[{""src"":""images/screwdriver_1.jpg"",""x"":877.0666666666667,""y"":0},{""src"":""images/hammer_2.jpg"",""x"":-177.0666666666667,""y"":600},{""src"":""images/screwdriver_2.jpg"",""x"":877.0666666666667,""y"":300},{""src"":""images/microphone.jpg"",""x"":-177.0666666666667,""y"":300},{""src"":""images/hammer_1.jpg"",""x"":877.0666666666667,""y"":600}]","[{""src"":""images/screwdriver_1.jpg"",""x"":609,""y"":135},{""src"":""images/screwdriver_2.jpg"",""x"":639,""y"":189},{""src"":""images/hammer_1.jpg"",""x"":494,""y"":559},{""src"":""images/microphone.jpg"",""x"":64,""y"":200},{""src"":""images/hammer_1.jpg"",""x"":631,""y"":449},{""src"":""images/hammer_2.jpg"",""x"":588,""y"":494}]","[{""src"":""images/screwdriver_1.jpg"",""x"":609,""y"":135},{""src"":""images/hammer_2.jpg"",""x"":588,""y"":494},{""src"":""images/screwdriver_2.jpg"",""x"":639,""y"":189},{""src"":""images/microphone.jpg"",""x"":64,""y"":200},{""src"":""images/hammer_1.jpg"",""x"":631,""y"":449}]",practice_2,NA,NA,/Users/martincz/GitHub/cat-act/data/free-sort/raw/catact-free-sort_PARTICIPANT_SESSION_2023-09-27_10h16.23.855.csv,19
free-sort,6,112026,0.0-6.0,KOCLJyWCatActImpoWLPNSglc,p580115,076d4ae9-1d81-4eff-8850-8afaec0d02bb,6fe21e6e-50f8-4bd0-81f7-3ac19dcb06a6,NA,NA,NA,NA,NA,NA,22340.5,"[{""src"":""stims_veg/sub5.jpg"",""x"":830.4000000000001,""y"":0},{""src"":""stims_veg/sub3.jpg"",""x"":-130.40000000000003,""y"":600},{""src"":""stims_veg/sub1.jpg"",""x"":830.4000000000001,""y"":200},{""src"":""stims_veg/sub4.jpg"",""x"":-130.40000000000003,""y"":400},{""src"":""stims_veg/bas1.jpg"",""x"":830.4000000000001,""y"":400},{""src"":""stims_veg/bas3.jpg"",""x"":-130.40000000000003,""y"":200},{""src"":""stims_veg/sub2.jpg"",""x"":830.4000000000001,""y"":600},{""src"":""stims_veg/sup1.jpg"",""x"":-130.40000000000003,""y"":0},{""src"":""stims_veg/bas4.jpg"",""x"":970.4000000000001,""y"":0},{""src"":""stims_veg/sup2.jpg"",""x"":-270.40000000000003,""y"":600},{""src"":""stims_veg/sup5.jpg"",""x"":970.4000000000001,""y"":200},{""src"":""stims_veg/sup6.jpg"",""x"":-270.40000000000003,""y"":400},{""src"":""stims_veg/sup4.jpg"",""x"":970.4000000000001,""y"":400},{""src"":""stims_veg/bas2.jpg"",""x"":-270.40000000000003,""y"":200},{""src"":""stims_veg/sup3.jpg"",""x"":970.4000000000001,""y"":600}]","[{""src"":""stims_veg/sup1.jpg"",""x"":215,""y"":58},{""src"":""stims_veg/sup4.jpg"",""x"":276,""y"":52},{""src"":""stims_veg/sub4.jpg"",""x"":73,""y"":442},{""src"":""stims_veg/bas3.jpg"",""x"":88,""y"":370},{""src"":""stims_veg/bas2.jpg"",""x"":24,""y"":413},{""src"":""stims_veg/sub3.jpg"",""x"":89,""y"":470},{""src"":""stims_veg/sub1.jpg"",""x"":136,""y"":461},{""src"":""stims_veg/sub2.jpg"",""x"":163,""y"":480},{""src"":""stims_veg/bas1.jpg"",""x"":146,""y"":433},{""src"":""stims_veg/sub5.jpg"",""x"":125,""y"":414},{""src"":""stims_veg/bas4.jpg"",""x"":151,""y"":450},{""src"":""stims_veg/sup2.jpg"",""x"":31,""y"":150},{""src"":""stims_veg/sup4.jpg"",""x"":554,""y"":25},{""src"":""stims_veg/sup1.jpg"",""x"":451,""y"":12},{""src"":""stims_veg/sup2.jpg"",""x"":98,""y"":100},{""src"":""stims_veg/sup6.jpg"",""x"":526,""y"":545},{""src"":""stims_veg/sup3.jpg"",""x"":592,""y"":516},{""src"":""stims_veg/sup5.jpg"",""x"":675,""y"":400}]","[{""src"":""stims_veg/sub5.jpg"",""x"":125,""y"":414},{""src"":""stims_veg/sub3.jpg"",""x"":89,""y"":470},{""src"":""stims_veg/sub1.jpg"",""x"":136,""y"":461},{""src"":""stims_veg/sub4.jpg"",""x"":73,""y"":442},{""src"":""stims_veg/bas1.jpg"",""x"":146,""y"":433},{""src"":""stims_veg/bas3.jpg"",""x"":88,""y"":370},{""src"":""stims_veg/sub2.jpg"",""x"":163,""y"":480},{""src"":""stims_veg/sup1.jpg"",""x"":451,""y"":12},{""src"":""stims_veg/bas4.jpg"",""x"":151,""y"":450},{""src"":""stims_veg/sup2.jpg"",""x"":98,""y"":100},{""src"":""stims_veg/sup5.jpg"",""x"":675,""y"":400},{""src"":""stims_veg/sup6.jpg"",""x"":526,""y"":545},{""src"":""stims_veg/sup4.jpg"",""x"":554,""y"":25},{""src"":""stims_veg/bas2.jpg"",""x"":24,""y"":413},{""src"":""stims_veg/sup3.jpg"",""x"":592,""y"":516}]",stims_veg,NA,NA,/Users/martincz/GitHub/cat-act/data/free-sort/raw/catact-free-sort_PARTICIPANT_SESSION_2023-09-27_10h16.23.855.csv,19
free-sort,7,135906,0.0-7.0,KOCLJyWCatActImpoWLPNSglc,p580115,076d4ae9-1d81-4eff-8850-8afaec0d02bb,6fe21e6e-50f8-4bd0-81f7-3ac19dcb06a6,NA,NA,NA,NA,NA,NA,23879.400000095367,"[{""src"":""stims_mus/bas1.jpg"",""x"":830.4000000000001,""y"":0},{""src"":""stims_mus/bas3.jpg"",""x"":-130.40000000000003,""y"":600},{""src"":""stims_mus/bas2.jpg"",""x"":830.4000000000001,""y"":200},{""src"":""stims_mus/sup2.jpg"",""x"":-130.40000000000003,""y"":400},{""src"":""stims_mus/sup3.jpg"",""x"":830.4000000000001,""y"":400},{""src"":""stims_mus/sub5.jpg"",""x"":-130.40000000000003,""y"":200},{""src"":""stims_mus/sup1.jpg"",""x"":830.4000000000001,""y"":600},{""src"":""stims_mus/bas4.jpg"",""x"":-130.40000000000003,""y"":0},{""src"":""stims_mus/sub1.jpg"",""x"":970.4000000000001,""y"":0},{""src"":""stims_mus/sup5.jpg"",""x"":-270.40000000000003,""y"":600},{""src"":""stims_mus/sup6.jpg"",""x"":970.4000000000001,""y"":200},{""src"":""stims_mus/sup4.jpg"",""x"":-270.40000000000003,""y"":400},{""src"":""stims_mus/sub3.jpg"",""x"":970.4000000000001,""y"":400},{""src"":""stims_mus/sub4.jpg"",""x"":-270.40000000000003,""y"":200},{""src"":""stims_mus/sub2.jpg"",""x"":970.4000000000001,""y"":600}]","[{""src"":""stims_mus/bas4.jpg"",""x"":104,""y"":78},{""src"":""stims_mus/sub5.jpg"",""x"":99,""y"":143},{""src"":""stims_mus/sub4.jpg"",""x"":32,""y"":187},{""src"":""stims_mus/sub5.jpg"",""x"":83,""y"":195},{""src"":""stims_mus/bas3.jpg"",""x"":19,""y"":294},{""src"":""stims_mus/sup2.jpg"",""x"":316,""y"":592},{""src"":""stims_mus/sup1.jpg"",""x"":692,""y"":341},{""src"":""stims_mus/bas2.jpg"",""x"":14,""y"":359},{""src"":""stims_mus/bas4.jpg"",""x"":157,""y"":37},{""src"":""stims_mus/sup6.jpg"",""x"":708,""y"":280},{""src"":""stims_mus/bas1.jpg"",""x"":39,""y"":310},{""src"":""stims_mus/sub1.jpg"",""x"":109,""y"":281},{""src"":""stims_mus/sup4.jpg"",""x"":513,""y"":46},{""src"":""stims_mus/sup4.jpg"",""x"":512,""y"":36},{""src"":""stims_mus/sup5.jpg"",""x"":562,""y"":51},{""src"":""stims_mus/sub3.jpg"",""x"":118,""y"":248},{""src"":""stims_mus/sub2.jpg"",""x"":93,""y"":298},{""src"":""stims_mus/sup3.jpg"",""x"":375,""y"":546}]","[{""src"":""stims_mus/bas1.jpg"",""x"":39,""y"":310},{""src"":""stims_mus/bas3.jpg"",""x"":19,""y"":294},{""src"":""stims_mus/bas2.jpg"",""x"":14,""y"":359},{""src"":""stims_mus/sup2.jpg"",""x"":316,""y"":592},{""src"":""stims_mus/sup3.jpg"",""x"":375,""y"":546},{""src"":""stims_mus/sub5.jpg"",""x"":83,""y"":195},{""src"":""stims_mus/sup1.jpg"",""x"":692,""y"":341},{""src"":""stims_mus/bas4.jpg"",""x"":157,""y"":37},{""src"":""stims_mus/sub1.jpg"",""x"":109,""y"":281},{""src"":""stims_mus/sup5.jpg"",""x"":562,""y"":51},{""src"":""stims_mus/sup6.jpg"",""x"":708,""y"":280},{""src"":""stims_mus/sup4.jpg"",""x"":512,""y"":36},{""src"":""stims_mus/sub3.jpg"",""x"":118,""y"":248},{""src"":""stims_mus/sub4.jpg"",""x"":32,""y"":187},{""src"":""stims_mus/sub2.jpg"",""x"":93,""y"":298}]",stims_mus,NA,NA,/Users/martincz/GitHub/cat-act/data/free-sort/raw/catact-free-sort_PARTICIPANT_SESSION_2023-09-27_10h16.23.855.csv,19
free-sort,8,166279,0.0-8.0,KOCLJyWCatActImpoWLPNSglc,p580115,076d4ae9-1d81-4eff-8850-8afaec0d02bb,6fe21e6e-50f8-4bd0-81f7-3ac19dcb06a6,NA,NA,NA,NA,NA,NA,30372,"[{""src"":""stims_veh/sub1.jpg"",""x"":830.4000000000001,""y"":0},{""src"":""stims_veh/bas4.jpg"",""x"":-130.40000000000003,""y"":600},{""src"":""stims_veh/sub2.jpg"",""x"":830.4000000000001,""y"":200},{""src"":""stims_veh/sup2.jpg"",""x"":-130.40000000000003,""y"":400},{""src"":""stims_veh/bas2.jpg"",""x"":830.4000000000001,""y"":400},{""src"":""stims_veh/sup3.jpg"",""x"":-130.40000000000003,""y"":200},{""src"":""stims_veh/sup6.jpg"",""x"":830.4000000000001,""y"":600},{""src"":""stims_veh/sup4.jpg"",""x"":-130.40000000000003,""y"":0},{""src"":""stims_veh/sub4.jpg"",""x"":970.4000000000001,""y"":0},{""src"":""stims_veh/sub5.jpg"",""x"":-270.40000000000003,""y"":600},{""src"":""stims_veh/sub3.jpg"",""x"":970.4000000000001,""y"":200},{""src"":""stims_veh/bas1.jpg"",""x"":-270.40000000000003,""y"":400},{""src"":""stims_veh/bas3.jpg"",""x"":970.4000000000001,""y"":400},{""src"":""stims_veh/sup1.jpg"",""x"":-270.40000000000003,""y"":200},{""src"":""stims_veh/sup5.jpg"",""x"":970.4000000000001,""y"":600}]","[{""src"":""stims_veh/sup4.jpg"",""x"":481,""y"":18},{""src"":""stims_veh/sub1.jpg"",""x"":58,""y"":161},{""src"":""stims_veh/sub4.jpg"",""x"":650,""y"":148},{""src"":""stims_veh/sub1.jpg"",""x"":593,""y"":157},{""src"":""stims_veh/sup4.jpg"",""x"":187,""y"":32},{""src"":""stims_veh/sub2.jpg"",""x"":629,""y"":196},{""src"":""stims_veh/sub3.jpg"",""x"":633,""y"":244},{""src"":""stims_veh/bas3.jpg"",""x"":662,""y"":393},{""src"":""stims_veh/bas2.jpg"",""x"":606,""y"":456},{""src"":""stims_veh/sup6.jpg"",""x"":398,""y"":585},{""src"":""stims_veh/bas3.jpg"",""x"":681,""y"":299},{""src"":""stims_veh/bas2.jpg"",""x"":701,""y"":353},{""src"":""stims_veh/sub5.jpg"",""x"":668,""y"":208},{""src"":""stims_veh/bas4.jpg"",""x"":644,""y"":358},{""src"":""stims_veh/bas1.jpg"",""x"":669,""y"":392},{""src"":""stims_veh/sup1.jpg"",""x"":287,""y"":590},{""src"":""stims_veh/sup3.jpg"",""x"":569,""y"":523},{""src"":""stims_veh/sup2.jpg"",""x"":88,""y"":122},{""src"":""stims_veh/sup4.jpg"",""x"":161,""y"":42},{""src"":""stims_veh/sup5.jpg"",""x"":22,""y"":319}]","[{""src"":""stims_veh/sub1.jpg"",""x"":593,""y"":157},{""src"":""stims_veh/bas4.jpg"",""x"":644,""y"":358},{""src"":""stims_veh/sub2.jpg"",""x"":629,""y"":196},{""src"":""stims_veh/sup2.jpg"",""x"":88,""y"":122},{""src"":""stims_veh/bas2.jpg"",""x"":701,""y"":353},{""src"":""stims_veh/sup3.jpg"",""x"":569,""y"":523},{""src"":""stims_veh/sup6.jpg"",""x"":398,""y"":585},{""src"":""stims_veh/sup4.jpg"",""x"":161,""y"":42},{""src"":""stims_veh/sub4.jpg"",""x"":650,""y"":148},{""src"":""stims_veh/sub5.jpg"",""x"":668,""y"":208},{""src"":""stims_veh/sub3.jpg"",""x"":633,""y"":244},{""src"":""stims_veh/bas1.jpg"",""x"":669,""y"":392},{""src"":""stims_veh/bas3.jpg"",""x"":681,""y"":299},{""src"":""stims_veh/sup1.jpg"",""x"":287,""y"":590},{""src"":""stims_veh/sup5.jpg"",""x"":22,""y"":319}]",stims_veh,NA,NA,/Users/martincz/GitHub/cat-act/data/free-sort/raw/catact-free-sort_PARTICIPANT_SESSION_2023-09-27_10h16.23.855.csv,19
free-sort,9,187151,0.0-9.0,KOCLJyWCatActImpoWLPNSglc,p580115,076d4ae9-1d81-4eff-8850-8afaec0d02bb,6fe21e6e-50f8-4bd0-81f7-3ac19dcb06a6,NA,NA,NA,NA,NA,NA,20871,"[{""src"":""stims_fru/sub4.jpg"",""x"":830.4000000000001,""y"":0},{""src"":""stims_fru/sup1.jpg"",""x"":-130.40000000000003,""y"":600},{""src"":""stims_fru/sub5.jpg"",""x"":830.4000000000001,""y"":200},{""src"":""stims_fru/sup5.jpg"",""x"":-130.40000000000003,""y"":400},{""src"":""stims_fru/bas4.jpg"",""x"":830.4000000000001,""y"":400},{""src"":""stims_fru/sup3.jpg"",""x"":-130.40000000000003,""y"":200},{""src"":""stims_fru/bas2.jpg"",""x"":830.4000000000001,""y"":600},{""src"":""stims_fru/sup6.jpg"",""x"":-130.40000000000003,""y"":0},{""src"":""stims_fru/bas1.jpg"",""x"":970.4000000000001,""y"":0},{""src"":""stims_fru/sub3.jpg"",""x"":-270.40000000000003,""y"":600},{""src"":""stims_fru/sub1.jpg"",""x"":970.4000000000001,""y"":200},{""src"":""stims_fru/sup4.jpg"",""x"":-270.40000000000003,""y"":400},{""src"":""stims_fru/bas3.jpg"",""x"":970.4000000000001,""y"":400},{""src"":""stims_fru/sub2.jpg"",""x"":-270.40000000000003,""y"":200},{""src"":""stims_fru/sup2.jpg"",""x"":970.4000000000001,""y"":600}]","[{""src"":""stims_fru/sub2.jpg"",""x"":180,""y"":90},{""src"":""stims_fru/sub4.jpg"",""x"":191,""y"":76},{""src"":""stims_fru/sub5.jpg"",""x"":191,""y"":94},{""src"":""stims_fru/sub1.jpg"",""x"":251,""y"":93},{""src"":""stims_fru/bas1.jpg"",""x"":334,""y"":37},{""src"":""stims_fru/bas3.jpg"",""x"":382,""y"":45},{""src"":""stims_fru/bas4.jpg"",""x"":426,""y"":35},{""src"":""stims_fru/bas2.jpg"",""x"":450,""y"":100},{""src"":""stims_fru/sup2.jpg"",""x"":569,""y"":183},{""src"":""stims_fru/sup2.jpg"",""x"":646,""y"":200},{""src"":""stims_fru/sup3.jpg"",""x"":676,""y"":370},{""src"":""stims_fru/sup5.jpg"",""x"":141,""y"":531},{""src"":""stims_fru/sup1.jpg"",""x"":209,""y"":555},{""src"":""stims_fru/sup4.jpg"",""x"":277,""y"":534},{""src"":""stims_fru/sup6.jpg"",""x"":-136,""y"":23},{""src"":""stims_fru/sup6.jpg"",""x"":155,""y"":454},{""src"":""stims_fru/sub3.jpg"",""x"":237,""y"":71},{""src"":""stims_fru/sup3.jpg"",""x"":596,""y"":474},{""src"":""stims_fru/sup2.jpg"",""x"":668,""y"":288}]","[{""src"":""stims_fru/sub4.jpg"",""x"":191,""y"":76},{""src"":""stims_fru/sup1.jpg"",""x"":209,""y"":555},{""src"":""stims_fru/sub5.jpg"",""x"":191,""y"":94},{""src"":""stims_fru/sup5.jpg"",""x"":141,""y"":531},{""src"":""stims_fru/bas4.jpg"",""x"":426,""y"":35},{""src"":""stims_fru/sup3.jpg"",""x"":596,""y"":474},{""src"":""stims_fru/bas2.jpg"",""x"":450,""y"":100},{""src"":""stims_fru/sup6.jpg"",""x"":155,""y"":454},{""src"":""stims_fru/bas1.jpg"",""x"":334,""y"":37},{""src"":""stims_fru/sub3.jpg"",""x"":237,""y"":71},{""src"":""stims_fru/sub1.jpg"",""x"":251,""y"":93},{""src"":""stims_fru/sup4.jpg"",""x"":277,""y"":534},{""src"":""stims_fru/bas3.jpg"",""x"":382,""y"":45},{""src"":""stims_fru/sub2.jpg"",""x"":180,""y"":90},{""src"":""stims_fru/sup2.jpg"",""x"":668,""y"":288}]",stims_fru,NA,NA,/Users/martincz/GitHub/cat-act/data/free-sort/raw/catact-free-sort_PARTICIPANT_SESSION_2023-09-27_10h16.23.855.csv,19
free-sort,10,211547,0.0-10.0,KOCLJyWCatActImpoWLPNSglc,p580115,076d4ae9-1d81-4eff-8850-8afaec0d02bb,6fe21e6e-50f8-4bd0-81f7-3ac19dcb06a6,NA,NA,NA,NA,NA,NA,24395.799999952316,"[{""src"":""stims_boa/sub4.jpg"",""x"":830.4000000000001,""y"":0},{""src"":""stims_boa/bas2.jpg"",""x"":-130.40000000000003,""y"":600},{""src"":""stims_boa/sup5.jpg"",""x"":830.4000000000001,""y"":150},{""src"":""stims_boa/sub5.jpg"",""x"":-130.40000000000003,""y"":450},{""src"":""stims_boa/sub1.jpg"",""x"":830.4000000000001,""y"":300},{""src"":""stims_boa/sup3.jpg"",""x"":-130.40000000000003,""y"":300},{""src"":""stims_boa/sup6.jpg"",""x"":830.4000000000001,""y"":450},{""src"":""stims_boa/bas3.jpg"",""x"":-130.40000000000003,""y"":150},{""src"":""stims_boa/sup4.jpg"",""x"":830.4000000000001,""y"":600},{""src"":""stims_boa/sub2.jpg"",""x"":-130.40000000000003,""y"":0},{""src"":""stims_boa/sup8.jpg"",""x"":970.4000000000001,""y"":0},{""src"":""stims_boa/sub3.jpg"",""x"":-270.40000000000003,""y"":600},{""src"":""stims_boa/sup7.jpg"",""x"":970.4000000000001,""y"":150},{""src"":""stims_boa/bas1.jpg"",""x"":-270.40000000000003,""y"":450},{""src"":""stims_boa/sup1.jpg"",""x"":970.4000000000001,""y"":300},{""src"":""stims_boa/bas4.jpg"",""x"":-270.40000000000003,""y"":300},{""src"":""stims_boa/sup2.jpg"",""x"":970.4000000000001,""y"":450}]","[{""src"":""stims_boa/sub2.jpg"",""x"":286,""y"":16},{""src"":""stims_boa/sub4.jpg"",""x"":269,""y"":43},{""src"":""stims_boa/sub1.jpg"",""x"":311,""y"":17},{""src"":""stims_boa/sup4.jpg"",""x"":374,""y"":48},{""src"":""stims_boa/sub3.jpg"",""x"":267,""y"":46},{""src"":""stims_boa/sub5.jpg"",""x"":280,""y"":86},{""src"":""stims_boa/sup3.jpg"",""x"":688,""y"":269},{""src"":""stims_boa/sup1.jpg"",""x"":640,""y"":274},{""src"":""stims_boa/sup5.jpg"",""x"":589,""y"":228},{""src"":""stims_boa/sup8.jpg"",""x"":629,""y"":484},{""src"":""stims_boa/sup7.jpg"",""x"":417,""y"":578},{""src"":""stims_boa/sup6.jpg"",""x"":332,""y"":582},{""src"":""stims_boa/bas2.jpg"",""x"":40,""y"":378},{""src"":""stims_boa/bas1.jpg"",""x"":65,""y"":264},{""src"":""stims_boa/bas4.jpg"",""x"":38,""y"":317},{""src"":""stims_boa/bas3.jpg"",""x"":73,""y"":241},{""src"":""stims_boa/sup2.jpg"",""x"":77,""y"":100}]","[{""src"":""stims_boa/sub4.jpg"",""x"":269,""y"":43},{""src"":""stims_boa/bas2.jpg"",""x"":40,""y"":378},{""src"":""stims_boa/sup5.jpg"",""x"":589,""y"":228},{""src"":""stims_boa/sub5.jpg"",""x"":280,""y"":86},{""src"":""stims_boa/sub1.jpg"",""x"":311,""y"":17},{""src"":""stims_boa/sup3.jpg"",""x"":688,""y"":269},{""src"":""stims_boa/sup6.jpg"",""x"":332,""y"":582},{""src"":""stims_boa/bas3.jpg"",""x"":73,""y"":241},{""src"":""stims_boa/sup4.jpg"",""x"":374,""y"":48},{""src"":""stims_boa/sub2.jpg"",""x"":286,""y"":16},{""src"":""stims_boa/sup8.jpg"",""x"":629,""y"":484},{""src"":""stims_boa/sub3.jpg"",""x"":267,""y"":46},{""src"":""stims_boa/sup7.jpg"",""x"":417,""y"":578},{""src"":""stims_boa/bas1.jpg"",""x"":65,""y"":264},{""src"":""stims_boa/sup1.jpg"",""x"":640,""y"":274},{""src"":""stims_boa/bas4.jpg"",""x"":38,""y"":317},{""src"":""stims_boa/sup2.jpg"",""x"":77,""y"":100}]",stims_boa,NA,NA,/Users/martincz/GitHub/cat-act/data/free-sort/raw/catact-free-sort_PARTICIPANT_SESSION_2023-09-27_10h16.23.855.csv,19
