"trial_type","trial_index","time_elapsed","internal_node_id","code","subject","workerId","hitId","assignmentId","catk_n","catk_i","catk_b","catk2_n","catk2_i","catk2_b","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","current_training_images","current_training_label","shuffled_sampling_images","sampling_image_words","shuffled_test_images","current_category_label_level","current_category_kind","current_category_training_level","current_alternate_training_label","sampled_image","sampled_label","label_consistent","selection_array","selection_index","rt_array","selection_type_array","final_choice_array","final_rt","view_history","question_order"
"pavlovia","0","2","0.0-0.0","RMZpGtbCatActWzDKnRRCDo","p681639","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","3793","0.0-1.0","RMZpGtbCatActWzDKnRRCDo","p681639","","","","","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","5636","0.0-2.0","RMZpGtbCatActWzDKnRRCDo","p681639","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","6570","0.0-3.0","RMZpGtbCatActWzDKnRRCDo","p681639","","","","","","","","","","","","","","","932","<div id=""container""><p><b><font size=""4.5"">Welcome to the experiment!</font></b></p><p><font size=""4.5"">In this experiment, we are interested in how people learn the meanings of new words.</font></p><p>Imagine you are learning a brand new language. Someone tells you a new word for the first time. Can you figure out what the word means? In this experiment, you will be shown objects together with their names in a made-up language. Your job is to learn these new words. </p><p><font size=""4.5"">Here's how the experiment will work. First, you will see a new word and three examples of the word. Next, we will check your memory for this new word. Then, you will see objects which may or may not also match the new word. You will get a chance to choose one of these objects and learn its name. Finally, you will select all of the objects that you think match the new word. <b>Remember, your job is to figure out what the new word means by learning which objects match the new word and which objects do NOT match the new word.</b></p><p><font size=""4.5"">This process will repeat, with a brand new word. You will learn three words total following these steps. Do your best to figure out what each word means. <b>The top 50 participants (out of 200) who do the best at identifying the meanings of new words will receive a $0.20 bonus in addition to the base compensation for the task.</b></p></font></p><p><i><font size=""4.5"">Click Next to begin the experiment and learn the first word!</font></i></p></div>","0","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","7937","0.0-4.0","RMZpGtbCatActWzDKnRRCDo","p681639","","","","","","","","","","","","","","","1365.0999999940395","<div id=""container""><p><b><font size=""4.5"">Your job is to figure out which objects are sibus and which are not.</font></b><style=""text-align:center;"" /p><p><b><font size=""4.5"">This is a sibu.</font></b><style=""text-align:center;"" /p><div class=""row""><div class=""column""><figure style=""opacity:0""><img src=""stims/ani_c3_sub1.jpg"" style=""width:70%""><figcaption style=""font-size:24px"">sibu</figcaption></figure></div><div class=""column""><figure><img src=""stims/ani_c3_sub1.jpg"" style=""width:50%""><figcaption style=""font-size:24px"">sibu</figcaption></figure></div><div class=""column""><figure style=""opacity:0""><img src=""stims/ani_c3_sub1.jpg"" style=""width:70%""><figcaption style=""font-size:24px"">sibu</figcaption></figure></div></div><p><b><font size=""4.5"">On the next page, we will check your memory of this new word. Make sure you look at the example and the new word carefully.</font></b><style=""text-align:center;"" /p><p><i>Click Next when you are ready to continue.</font></i><style=""text-align:center;"" /p></div>","0","[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_sup1.jpg"",""stims/ani_c3_sup2.jpg""]","sibu","[""stims/veh_c2_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veh_c2_sup3.jpg""]","[""NOT a sibu"",""sibu"",""sibu"",""sibu"",""NOT a sibu"",""NOT a sibu"",""NOT a sibu"",""NOT a sibu"",""NOT a sibu""]","[""stims/veh_c2_sup5.jpg"",""stims/veh_c2_sup4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veh_c2_sup6.jpg"",""stims/veg_c1_bas3.jpg"",""stims/ani_c3_sup5.jpg"",""stims/veg_c1_sup4.jpg"",""stims/veh_c2_bas4.jpg"",""stims/ani_c3_sup4.jpg"",""stims/ani_c3_sub5.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/ani_c3_sup6.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veg_c1_sup5.jpg"",""stims/veg_c1_sup6.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veh_c2_sub5.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veg_c1_bas4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_sub5.jpg""]","broad","animals","broad","NOT a sibu","","","","","","","","","","",""
"survey-html-form","5","9487","0.0-5.0","RMZpGtbCatActWzDKnRRCDo","p681639","","","","","","","","","","","","","","","1546.300000011921","","{""name_check"":""asdasd""}","[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_sup1.jpg"",""stims/ani_c3_sup2.jpg""]","sibu","[""stims/veh_c2_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veh_c2_sup3.jpg""]","[""NOT a sibu"",""sibu"",""sibu"",""sibu"",""NOT a sibu"",""NOT a sibu"",""NOT a sibu"",""NOT a sibu"",""NOT a sibu""]","[""stims/veh_c2_sup5.jpg"",""stims/veh_c2_sup4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veh_c2_sup6.jpg"",""stims/veg_c1_bas3.jpg"",""stims/ani_c3_sup5.jpg"",""stims/veg_c1_sup4.jpg"",""stims/veh_c2_bas4.jpg"",""stims/ani_c3_sup4.jpg"",""stims/ani_c3_sub5.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/ani_c3_sup6.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veg_c1_sup5.jpg"",""stims/veg_c1_sup6.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veh_c2_sub5.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veg_c1_bas4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_sub5.jpg""]","broad","animals","broad","NOT a sibu","","","","","","","","","","",""
"html-button-response-cols","6","10488","0.0-6.0","RMZpGtbCatActWzDKnRRCDo","p681639","","","","","","","","","","","","","","","998.2999999970198","<div id=""container""><p><b><font size=""4.5"">Your job is to figure out which objects are sibus and which are not.</font></b><style=""text-align:center;"" /p><p><b><font size=""4.5"">This is a sibu.</font></b><style=""text-align:center;"" /p><div class=""row""><div class=""column""><figure style=""opacity:0""><img src=""stims/ani_c3_sub1.jpg"" style=""width:70%""><figcaption style=""font-size:24px"">sibu</figcaption></figure></div><div class=""column""><figure><img src=""stims/ani_c3_sub1.jpg"" style=""width:50%""><figcaption style=""font-size:24px"">sibu</figcaption></figure></div><div class=""column""><figure style=""opacity:0""><img src=""stims/ani_c3_sub1.jpg"" style=""width:70%""><figcaption style=""font-size:24px"">sibu</figcaption></figure></div></div><p><b><font size=""4.5"">Which of these nine objects would you like to learn the name of? You can only make one choice, so choose carefully!</font></b></p><p><i><font size=""4.5"">Click on the object that you would like to know the name of.</font></i><style=""text-align:center;"" /p>","2","[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_sup1.jpg"",""stims/ani_c3_sup2.jpg""]","sibu","[""stims/veh_c2_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veh_c2_sup3.jpg""]","[""NOT a sibu"",""sibu"",""sibu"",""sibu"",""NOT a sibu"",""NOT a sibu"",""NOT a sibu"",""NOT a sibu"",""NOT a sibu""]","[""stims/veh_c2_sup5.jpg"",""stims/veh_c2_sup4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veh_c2_sup6.jpg"",""stims/veg_c1_bas3.jpg"",""stims/ani_c3_sup5.jpg"",""stims/veg_c1_sup4.jpg"",""stims/veh_c2_bas4.jpg"",""stims/ani_c3_sup4.jpg"",""stims/ani_c3_sub5.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/ani_c3_sup6.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veg_c1_sup5.jpg"",""stims/veg_c1_sup6.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veh_c2_sub5.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veg_c1_bas4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_sub5.jpg""]","broad","animals","broad","NOT a sibu","","","","","","","","","","",""
"html-button-response","7","11487","0.0-7.0","RMZpGtbCatActWzDKnRRCDo","p681639","","","","","","","","","","","","","","","996.2999999970198","<div id=""container""><p><b><font size=""4.5"">The image you selected is a <span style=""color:#ff0000""><u>sibu</u></span>.</font></b><style=""text-align:center;"" /p><div class=""row""><div class=""column""><figure style=""opacity:0""><img src=""stims/ani_c3_sub1.jpg"" style=""width:70%""><figcaption style=""font-size:24px"">sibu</figcaption></figure></div><div class=""column""><figure><img src=""stims/ani_c3_sub1.jpg"" style=""width:70%""><figcaption style=""font-size:24px"">sibu</figcaption></figure></div><div class=""column""><figure><img src=""stims/ani_c3_bas3.jpg"" style=""width:57%; border: 5px solid #ff0000; padding: 6px""><figcaption style=""font-size:24px;color:#ff0000"">sibu</figcaption></figure></div><div class=""column""><figure style=""opacity:0""><img src=""stims/ani_c3_sub1.jpg"" style=""width:70%""><figcaption style=""font-size:24px"">sibu</figcaption></figure></div></div class=""column""></div class=""column""></div class=""column""></div class=""column""><div id=""container""><p><b><font size=""4.5"">Next, you will see a set of 24 new objects and decide which of them are sibus.</font></b><div id=""container""><p><b><font size=""4.5"">Your goal is to select <u>all</u> of the sibus.</font></b><p><i><font size=""4.5"">Click Next to continue.</font></i><style=""text-align:center;"" /p><style=""text-align:center;"" /p></div>","0","[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_sup1.jpg"",""stims/ani_c3_sup2.jpg""]","sibu","[""stims/veh_c2_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veh_c2_sup3.jpg""]","[""NOT a sibu"",""sibu"",""sibu"",""sibu"",""NOT a sibu"",""NOT a sibu"",""NOT a sibu"",""NOT a sibu"",""NOT a sibu""]","[""stims/veh_c2_sup5.jpg"",""stims/veh_c2_sup4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veh_c2_sup6.jpg"",""stims/veg_c1_bas3.jpg"",""stims/ani_c3_sup5.jpg"",""stims/veg_c1_sup4.jpg"",""stims/veh_c2_bas4.jpg"",""stims/ani_c3_sup4.jpg"",""stims/ani_c3_sub5.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/ani_c3_sup6.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veg_c1_sup5.jpg"",""stims/veg_c1_sup6.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veh_c2_sub5.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veg_c1_bas4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_sub5.jpg""]","broad","animals","broad","NOT a sibu","stims/ani_c3_bas3.jpg","sibu","1","","","","","","","",""
"html-button-response-catact","8","14850","0.0-8.0","RMZpGtbCatActWzDKnRRCDo","p681639","","","","","","","","","","","","","","","","","","[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_sup1.jpg"",""stims/ani_c3_sup2.jpg""]","sibu","[""stims/veh_c2_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veh_c2_sup3.jpg""]","[""NOT a sibu"",""sibu"",""sibu"",""sibu"",""NOT a sibu"",""NOT a sibu"",""NOT a sibu"",""NOT a sibu"",""NOT a sibu""]","[""stims/veh_c2_sup5.jpg"",""stims/veh_c2_sup4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veh_c2_sup6.jpg"",""stims/veg_c1_bas3.jpg"",""stims/ani_c3_sup5.jpg"",""stims/veg_c1_sup4.jpg"",""stims/veh_c2_bas4.jpg"",""stims/ani_c3_sup4.jpg"",""stims/ani_c3_sub5.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/ani_c3_sup6.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veg_c1_sup5.jpg"",""stims/veg_c1_sup6.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veh_c2_sub5.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veg_c1_bas4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_sub5.jpg""]","broad","animals","broad","NOT a sibu","stims/ani_c3_bas3.jpg","sibu","","[""stims/veg_c1_sup5.jpg"",""stims/veh_c2_bas4.jpg"",""stims/ani_c3_sub5.jpg""]","[""15"",""7"",""9""]","[911.5999999940395,1676.2999999970198,2311.7999999970198]","[""select"",""select"",""select""]","[""stims/veg_c1_sup5.jpg"",""stims/veh_c2_bas4.jpg"",""stims/ani_c3_sub5.jpg""]","3359.5999999940395","",""
"survey-html-form","9","16572","0.0-9.0","RMZpGtbCatActWzDKnRRCDo","p681639","","","","","","","","","","","","","","","1719.5","","{""word_meaning"":""asdasd""}","[""stims/ani_c3_sub1.jpg"",""stims/ani_c3_sup1.jpg"",""stims/ani_c3_sup2.jpg""]","sibu","[""stims/veh_c2_bas3.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas3.jpg"",""stims/ani_c3_sup3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_bas3.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veh_c2_sup3.jpg""]","[""NOT a sibu"",""sibu"",""sibu"",""sibu"",""NOT a sibu"",""NOT a sibu"",""NOT a sibu"",""NOT a sibu"",""NOT a sibu""]","[""stims/veh_c2_sup5.jpg"",""stims/veh_c2_sup4.jpg"",""stims/veh_c2_sup3.jpg"",""stims/veh_c2_sup6.jpg"",""stims/veg_c1_bas3.jpg"",""stims/ani_c3_sup5.jpg"",""stims/veg_c1_sup4.jpg"",""stims/veh_c2_bas4.jpg"",""stims/ani_c3_sup4.jpg"",""stims/ani_c3_sub5.jpg"",""stims/ani_c3_sub4.jpg"",""stims/ani_c3_bas4.jpg"",""stims/ani_c3_sup3.jpg"",""stims/ani_c3_sup6.jpg"",""stims/veh_c2_bas3.jpg"",""stims/veg_c1_sup5.jpg"",""stims/veg_c1_sup6.jpg"",""stims/ani_c3_bas3.jpg"",""stims/veg_c1_sub4.jpg"",""stims/veh_c2_sub5.jpg"",""stims/veh_c2_sub4.jpg"",""stims/veg_c1_bas4.jpg"",""stims/veg_c1_sup3.jpg"",""stims/veg_c1_sub5.jpg""]","broad","animals","broad","NOT a sibu","","","","","","","","","","",""
