"trial_type","trial_index","time_elapsed","internal_node_id","code","subject","workerId","hitId","assignmentId","catk_n","catk_i","catk_b","catk2_n","catk2_i","catk2_b","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","current_training_images","current_training_label","shuffled_sampling_images","sampling_image_words","shuffled_test_images","current_category_label_level","current_category_kind","current_category_training_level","current_alternate_training_label","sampled_image","sampled_label","label_consistent","selection_array","selection_index","rt_array","selection_type_array","final_choice_array","final_rt","view_history","question_order"
"pavlovia","0","1","0.0-0.0","WPcNcDGCatActIuezCcARWg","p755328","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","16","0.0-1.0","WPcNcDGCatActIuezCcARWg","p755328","","","","","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","2533","0.0-2.0","WPcNcDGCatActIuezCcARWg","p755328","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","3753","0.0-3.0","WPcNcDGCatActIuezCcARWg","p755328","","","","","","","","","","","","","","","1217","<div id=""container""><p><b><font size=""4.5"">Welcome to the experiment!</font></b></p><p><font size=""4.5"">In this experiment, we are interested in how people learn the meanings of new words.</font></p><p>Imagine you are learning a brand new language. Someone tells you a new word for the first time. Can you figure out what the word means? In this experiment, you will be shown objects together with their names in a made-up language. Your job is to learn these new words. </p><p><font size=""4.5"">Here's how the experiment will work. First, you will see a new word and examples of the word. Next, we will check your memory for this new word. Then, you will see objects which may or may not also match the new word. You will get a chance to choose one of these objects and learn its name. Finally, you will select all of the objects that you think match the new word. <b>Remember, your job is to figure out what the new word means by learning which objects match the new word and which objects do NOT match the new word.</b></p><p><font size=""4.5"">This process will repeat, with a brand new word. You will learn six words total following these steps. Do your best to figure out what each word means. <b>The top 50 participants (out of 200) who do the best at identifying the meanings of new words will receive a $0.20 bonus in addition to the base compensation for the task.</b></p></font></p><p><i><font size=""4.5"">Click Next to begin the experiment and learn the first word!</font></i></p></div>","0","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","6272","0.0-4.0","WPcNcDGCatActIuezCcARWg","p755328","","","","","","","","","","","","","","","2516","<div id=""container""><p><b><font size=""4.5"">Your job is to figure out which objects are beppos and which are not.</font></b><style=""text-align:center;"" /p><p><b><font size=""4.5"">These are 3 beppos.</font></b><style=""text-align:center;"" /p><div class=""row""><div class=""column""><figure><img src=""stims/mus_c5_sub1.jpg"" style=""width:70%""><figcaption style=""font-size:24px"">beppo</figcaption></figure></div><div class=""column""><figure><img src=""stims/mus_c5_sub2.jpg"" style=""width:70%""><figcaption style=""font-size:24px"">beppo</figcaption></figure></div><div class=""column""><figure><img src=""stims/mus_c5_sub3.jpg"" style=""width:70%""><figcaption style=""font-size:24px"">beppo</figcaption></figure></div><div class=""column""><img src=""stims/mus_c5_sub1.jpg"" style=""width:70%;opacity:0""></div></div><p><b><font size=""4.5"">On the next page, we will check your memory of this new word. Make sure you look at the three examples and the new word carefully.</font></b><style=""text-align:center;"" /p><p><i>Click Next when you are ready to continue.</font></i><style=""text-align:center;"" /p></div>","0","[""stims/mus_c5_sub1.jpg"",""stims/mus_c5_sub2.jpg"",""stims/mus_c5_sub3.jpg""]","beppo","[""stims/mus_c5_sup3.jpg"",""stims/fru_c4_sup3.jpg"",""stims/sea_c6_sup3.jpg"",""stims/sea_c6_sub4.jpg"",""stims/mus_c5_sub4.jpg"",""stims/sea_c6_bas3.jpg"",""stims/mus_c5_bas3.jpg"",""stims/fru_c4_bas3.jpg"",""stims/fru_c4_sub4.jpg""]","[""NOT a beppo"",""NOT a beppo"",""NOT a beppo"",""NOT a beppo"",""beppo"",""NOT a beppo"",""NOT a beppo"",""NOT a beppo"",""NOT a beppo""]","[""stims/mus_c5_sub4.jpg"",""stims/fru_c4_sup5.jpg"",""stims/sea_c6_sup3.jpg"",""stims/sea_c6_sup6.jpg"",""stims/sea_c6_sup4.jpg"",""stims/mus_c5_sup5.jpg"",""stims/sea_c6_sub5.jpg"",""stims/fru_c4_sub4.jpg"",""stims/mus_c5_sup6.jpg"",""stims/fru_c4_sup6.jpg"",""stims/fru_c4_sub5.jpg"",""stims/fru_c4_bas3.jpg"",""stims/sea_c6_sup5.jpg"",""stims/fru_c4_sup4.jpg"",""stims/mus_c5_bas4.jpg"",""stims/mus_c5_bas3.jpg"",""stims/sea_c6_bas3.jpg"",""stims/mus_c5_sup3.jpg"",""stims/fru_c4_bas4.jpg"",""stims/sea_c6_bas4.jpg"",""stims/sea_c6_sub4.jpg"",""stims/fru_c4_sup3.jpg"",""stims/mus_c5_sup4.jpg"",""stims/mus_c5_sub5.jpg""]","narrow","music","narrow","NOT a beppo","","","","","","","","","","",""
"survey-html-form","5","9778","0.0-5.0","WPcNcDGCatActIuezCcARWg","p755328","","","","","","","","","","","","","","","3488","","{""name_check"":""beppos""}","[""stims/mus_c5_sub1.jpg"",""stims/mus_c5_sub2.jpg"",""stims/mus_c5_sub3.jpg""]","beppo","[""stims/mus_c5_sup3.jpg"",""stims/fru_c4_sup3.jpg"",""stims/sea_c6_sup3.jpg"",""stims/sea_c6_sub4.jpg"",""stims/mus_c5_sub4.jpg"",""stims/sea_c6_bas3.jpg"",""stims/mus_c5_bas3.jpg"",""stims/fru_c4_bas3.jpg"",""stims/fru_c4_sub4.jpg""]","[""NOT a beppo"",""NOT a beppo"",""NOT a beppo"",""NOT a beppo"",""beppo"",""NOT a beppo"",""NOT a beppo"",""NOT a beppo"",""NOT a beppo""]","[""stims/mus_c5_sub4.jpg"",""stims/fru_c4_sup5.jpg"",""stims/sea_c6_sup3.jpg"",""stims/sea_c6_sup6.jpg"",""stims/sea_c6_sup4.jpg"",""stims/mus_c5_sup5.jpg"",""stims/sea_c6_sub5.jpg"",""stims/fru_c4_sub4.jpg"",""stims/mus_c5_sup6.jpg"",""stims/fru_c4_sup6.jpg"",""stims/fru_c4_sub5.jpg"",""stims/fru_c4_bas3.jpg"",""stims/sea_c6_sup5.jpg"",""stims/fru_c4_sup4.jpg"",""stims/mus_c5_bas4.jpg"",""stims/mus_c5_bas3.jpg"",""stims/sea_c6_bas3.jpg"",""stims/mus_c5_sup3.jpg"",""stims/fru_c4_bas4.jpg"",""stims/sea_c6_bas4.jpg"",""stims/sea_c6_sub4.jpg"",""stims/fru_c4_sup3.jpg"",""stims/mus_c5_sup4.jpg"",""stims/mus_c5_sub5.jpg""]","narrow","music","narrow","NOT a beppo","","","","","","","","","","",""
"html-button-response-cols","6","18338","0.0-6.0","WPcNcDGCatActIuezCcARWg","p755328","","","","","","","","","","","","","","","8557.999999999998","<div id=""container""><p><b><font size=""4.5"">Your job is to figure out which objects are beppos and which are not.</font></b><style=""text-align:center;"" /p><p><b><font size=""4.5"">These are 3 beppos.</font></b><style=""text-align:center;"" /p><div class=""row""><div class=""column""><figure><img src=""stims/mus_c5_sub1.jpg"" style=""width:70%""><figcaption style=""font-size:24px"">beppo</figcaption></figure></div><div class=""column""><figure><img src=""stims/mus_c5_sub2.jpg"" style=""width:70%""><figcaption style=""font-size:24px"">beppo</figcaption></figure></div><div class=""column""><figure><img src=""stims/mus_c5_sub3.jpg"" style=""width:70%""><figcaption style=""font-size:24px"">beppo</figcaption></figure></div><div class=""column""><img src=""stims/mus_c5_sub1.jpg"" style=""width:70%;opacity:0""></div></div><p><b><font size=""4.5"">Which of these nine objects would you like to learn the name of? You can only make one choice, so choose carefully!</font></b></p><p><i><font size=""4.5"">Click on the object that you would like to know the name of.</font></i><style=""text-align:center;"" /p>","0","[""stims/mus_c5_sub1.jpg"",""stims/mus_c5_sub2.jpg"",""stims/mus_c5_sub3.jpg""]","beppo","[""stims/mus_c5_sup3.jpg"",""stims/fru_c4_sup3.jpg"",""stims/sea_c6_sup3.jpg"",""stims/sea_c6_sub4.jpg"",""stims/mus_c5_sub4.jpg"",""stims/sea_c6_bas3.jpg"",""stims/mus_c5_bas3.jpg"",""stims/fru_c4_bas3.jpg"",""stims/fru_c4_sub4.jpg""]","[""NOT a beppo"",""NOT a beppo"",""NOT a beppo"",""NOT a beppo"",""beppo"",""NOT a beppo"",""NOT a beppo"",""NOT a beppo"",""NOT a beppo""]","[""stims/mus_c5_sub4.jpg"",""stims/fru_c4_sup5.jpg"",""stims/sea_c6_sup3.jpg"",""stims/sea_c6_sup6.jpg"",""stims/sea_c6_sup4.jpg"",""stims/mus_c5_sup5.jpg"",""stims/sea_c6_sub5.jpg"",""stims/fru_c4_sub4.jpg"",""stims/mus_c5_sup6.jpg"",""stims/fru_c4_sup6.jpg"",""stims/fru_c4_sub5.jpg"",""stims/fru_c4_bas3.jpg"",""stims/sea_c6_sup5.jpg"",""stims/fru_c4_sup4.jpg"",""stims/mus_c5_bas4.jpg"",""stims/mus_c5_bas3.jpg"",""stims/sea_c6_bas3.jpg"",""stims/mus_c5_sup3.jpg"",""stims/fru_c4_bas4.jpg"",""stims/sea_c6_bas4.jpg"",""stims/sea_c6_sub4.jpg"",""stims/fru_c4_sup3.jpg"",""stims/mus_c5_sup4.jpg"",""stims/mus_c5_sub5.jpg""]","narrow","music","narrow","NOT a beppo","","","","","","","","","","",""
"html-button-response","7","19841","0.0-7.0","WPcNcDGCatActIuezCcARWg","p755328","","","","","","","","","","","","","","","1496","<div id=""container""><p><b><font size=""4.5"">The image you selected is <span style=""color:#ff0000""><u>NOT a beppo</u></span>.</font></b><style=""text-align:center;"" /p><div class=""row""><div class=""column""><figure><img src=""stims/mus_c5_sub1.jpg"" style=""width:70%""><figcaption style=""font-size:24px"">beppo</figcaption></figure></div><div class=""column""><figure><img src=""stims/mus_c5_sub2.jpg"" style=""width:70%""><figcaption style=""font-size:24px"">beppo</figcaption></figure></div><div class=""column""><figure><img src=""stims/mus_c5_sub3.jpg"" style=""width:70%""><figcaption style=""font-size:24px"">beppo</figcaption></figure></div><div class=""column""><figure><img src=""stims/mus_c5_sup3.jpg"" style=""width:70%; border: 5px solid #ff0000; padding: 6px""><figcaption style=""font-size:24px;color:#ff0000"">NOT a beppo</figcaption></figure></div class=""column""></div class=""column""></div class=""column""></div class=""column""><div id=""container""><p><b><font size=""4.5"">Next, you will see a set of 24 new objects and decide which of them are beppos.</font></b><div id=""container""><p><b><font size=""4.5"">Your goal is to select <u>all</u> of the beppos.</font></b><p><i><font size=""4.5"">Click Next to continue.</font></i><style=""text-align:center;"" /p><style=""text-align:center;"" /p></div>","0","[""stims/mus_c5_sub1.jpg"",""stims/mus_c5_sub2.jpg"",""stims/mus_c5_sub3.jpg""]","beppo","[""stims/mus_c5_sup3.jpg"",""stims/fru_c4_sup3.jpg"",""stims/sea_c6_sup3.jpg"",""stims/sea_c6_sub4.jpg"",""stims/mus_c5_sub4.jpg"",""stims/sea_c6_bas3.jpg"",""stims/mus_c5_bas3.jpg"",""stims/fru_c4_bas3.jpg"",""stims/fru_c4_sub4.jpg""]","[""NOT a beppo"",""NOT a beppo"",""NOT a beppo"",""NOT a beppo"",""beppo"",""NOT a beppo"",""NOT a beppo"",""NOT a beppo"",""NOT a beppo""]","[""stims/mus_c5_sub4.jpg"",""stims/fru_c4_sup5.jpg"",""stims/sea_c6_sup3.jpg"",""stims/sea_c6_sup6.jpg"",""stims/sea_c6_sup4.jpg"",""stims/mus_c5_sup5.jpg"",""stims/sea_c6_sub5.jpg"",""stims/fru_c4_sub4.jpg"",""stims/mus_c5_sup6.jpg"",""stims/fru_c4_sup6.jpg"",""stims/fru_c4_sub5.jpg"",""stims/fru_c4_bas3.jpg"",""stims/sea_c6_sup5.jpg"",""stims/fru_c4_sup4.jpg"",""stims/mus_c5_bas4.jpg"",""stims/mus_c5_bas3.jpg"",""stims/sea_c6_bas3.jpg"",""stims/mus_c5_sup3.jpg"",""stims/fru_c4_bas4.jpg"",""stims/sea_c6_bas4.jpg"",""stims/sea_c6_sub4.jpg"",""stims/fru_c4_sup3.jpg"",""stims/mus_c5_sup4.jpg"",""stims/mus_c5_sub5.jpg""]","narrow","music","narrow","NOT a beppo","stims/mus_c5_sup3.jpg","NOT a beppo","0","","","","","","","",""
"html-button-response-catact","8","33514","0.0-8.0","WPcNcDGCatActIuezCcARWg","p755328","","","","","","","","","","","","","","","","","","[""stims/mus_c5_sub1.jpg"",""stims/mus_c5_sub2.jpg"",""stims/mus_c5_sub3.jpg""]","beppo","[""stims/mus_c5_sup3.jpg"",""stims/fru_c4_sup3.jpg"",""stims/sea_c6_sup3.jpg"",""stims/sea_c6_sub4.jpg"",""stims/mus_c5_sub4.jpg"",""stims/sea_c6_bas3.jpg"",""stims/mus_c5_bas3.jpg"",""stims/fru_c4_bas3.jpg"",""stims/fru_c4_sub4.jpg""]","[""NOT a beppo"",""NOT a beppo"",""NOT a beppo"",""NOT a beppo"",""beppo"",""NOT a beppo"",""NOT a beppo"",""NOT a beppo"",""NOT a beppo""]","[""stims/mus_c5_sub4.jpg"",""stims/fru_c4_sup5.jpg"",""stims/sea_c6_sup3.jpg"",""stims/sea_c6_sup6.jpg"",""stims/sea_c6_sup4.jpg"",""stims/mus_c5_sup5.jpg"",""stims/sea_c6_sub5.jpg"",""stims/fru_c4_sub4.jpg"",""stims/mus_c5_sup6.jpg"",""stims/fru_c4_sup6.jpg"",""stims/fru_c4_sub5.jpg"",""stims/fru_c4_bas3.jpg"",""stims/sea_c6_sup5.jpg"",""stims/fru_c4_sup4.jpg"",""stims/mus_c5_bas4.jpg"",""stims/mus_c5_bas3.jpg"",""stims/sea_c6_bas3.jpg"",""stims/mus_c5_sup3.jpg"",""stims/fru_c4_bas4.jpg"",""stims/sea_c6_bas4.jpg"",""stims/sea_c6_sub4.jpg"",""stims/fru_c4_sup3.jpg"",""stims/mus_c5_sup4.jpg"",""stims/mus_c5_sub5.jpg""]","narrow","music","narrow","NOT a beppo","stims/mus_c5_sup3.jpg","NOT a beppo","","[""stims/mus_c5_sub4.jpg"",""stims/mus_c5_bas4.jpg"",""stims/mus_c5_bas3.jpg"",""stims/mus_c5_sub5.jpg""]","[""0"",""14"",""15"",""23""]","[3804,4466,4982,5627]","[""select"",""select"",""select"",""select""]","[""stims/mus_c5_sub4.jpg"",""stims/mus_c5_bas4.jpg"",""stims/mus_c5_bas3.jpg"",""stims/mus_c5_sub5.jpg""]","13667","",""
"survey-html-form","9","42210","0.0-9.0","WPcNcDGCatActIuezCcARWg","p755328","","","","","","","","","","","","","","","8693","","{""word_meaning"":""horn instruments""}","[""stims/mus_c5_sub1.jpg"",""stims/mus_c5_sub2.jpg"",""stims/mus_c5_sub3.jpg""]","beppo","[""stims/mus_c5_sup3.jpg"",""stims/fru_c4_sup3.jpg"",""stims/sea_c6_sup3.jpg"",""stims/sea_c6_sub4.jpg"",""stims/mus_c5_sub4.jpg"",""stims/sea_c6_bas3.jpg"",""stims/mus_c5_bas3.jpg"",""stims/fru_c4_bas3.jpg"",""stims/fru_c4_sub4.jpg""]","[""NOT a beppo"",""NOT a beppo"",""NOT a beppo"",""NOT a beppo"",""beppo"",""NOT a beppo"",""NOT a beppo"",""NOT a beppo"",""NOT a beppo""]","[""stims/mus_c5_sub4.jpg"",""stims/fru_c4_sup5.jpg"",""stims/sea_c6_sup3.jpg"",""stims/sea_c6_sup6.jpg"",""stims/sea_c6_sup4.jpg"",""stims/mus_c5_sup5.jpg"",""stims/sea_c6_sub5.jpg"",""stims/fru_c4_sub4.jpg"",""stims/mus_c5_sup6.jpg"",""stims/fru_c4_sup6.jpg"",""stims/fru_c4_sub5.jpg"",""stims/fru_c4_bas3.jpg"",""stims/sea_c6_sup5.jpg"",""stims/fru_c4_sup4.jpg"",""stims/mus_c5_bas4.jpg"",""stims/mus_c5_bas3.jpg"",""stims/sea_c6_bas3.jpg"",""stims/mus_c5_sup3.jpg"",""stims/fru_c4_bas4.jpg"",""stims/sea_c6_bas4.jpg"",""stims/sea_c6_sub4.jpg"",""stims/fru_c4_sup3.jpg"",""stims/mus_c5_sup4.jpg"",""stims/mus_c5_sub5.jpg""]","narrow","music","narrow","NOT a beppo","","","","","","","","","","",""
